iter	Passed	Remaining
735	4778	1713
736	4784	1707
737	4790	1700
738	4796	1694
739	4802	1687
740	4808	1680
741	4822	1676
742	4828	1670
743	4835	1663
744	4842	1657
745	4848	1650
746	4855	1644
747	4861	1637
748	4868	1631
749	4874	1624
750	4881	1618
751	4887	1611
752	4894	1605
753	4902	1599
754	4908	1592
755	4915	1586
756	4922	1580
757	4929	1573
758	4936	1567
759	4942	1560
760	4950	1554
761	4957	1548
762	4964	1541
763	4970	1535
764	4978	1529
765	4984	1522
766	4991	1516
767	4998	1510
768	5005	1503
769	5023	1500
770	5038	1496
771	5047	1490
772	5054	1484
773	5061	1477
774	5068	1471
775	5075	1464
776	5082	1458
777	5088	1452
778	5096	1445
779	5103	1439
780	5110	1433
781	5117	1426
782	5124	1420
783	5132	1414
784	5139	1407
785	5147	1401
786	5154	1394
787	5163	1389
788	5169	1382
789	5176	1375
790	5183	1369
791	5190	1363
792	5196	1356
793	5202	1349
794	5208	1343
795	5214	1336
796	5220	1329
797	5228	1323
798	5234	1316
799	5241	1310
800	5247	1303
801	5253	1296
802	5262	1291
803	5268	1284
804	5275	1277
805	5281	1271
806	5287	1264
807	5294	1257
808	5300	1251
809	5307	1244
810	5313	1238
811	5319	1231
812	5328	1225
813	5334	1218
814	5340	1212
815	5346	1205
816	5353	1199
817	5359	1192
818	5365	1185
819	5373	1179
820	5379	1172
821	5386	1166
822	5392	1159
823	5398	1153
824	5404	1146
825	5410	1139
826	5416	1133
827	5423	1126
828	5429	1119
829	5435	1113
830	5442	1106
831	5449	1100
832	5456	1093
833	5462	1087
834	5468	1080
835	5474	1073
836	5480	1067
837	5487	1060
838	5493	1054
839	5500	1047
840	5507	1041
841	5516	1035
842	5524	1028
843	5531	1022
844	5541	1016
845	5548	1009
846	5555	1003
847	5563	997
848	5569	990
849	5575	983
850	5581	977
851	5588	970
852	5594	964
853	5601	957
854	5607	950
855	5613	944
856	5619	937
857	5625	930
858	5631	924
859	5638	917
860	5644	911
861	5650	904
862	5656	898
863	5663	891
864	5669	884
865	5678	878
866	5686	872
867	5692	865
868	5699	859
869	5705	852
870	5711	845
871	5717	839
872	5723	832
873	5731	826
874	5738	819
875	5743	813
876	5750	806
877	5756	799
878	5763	793
879	5769	786
880	5775	780
881	5782	773
882	5788	766
883	5795	760
884	5801	753
885	5807	747
886	5814	740
887	5820	734
888	5826	727
889	5832	720
890	5839	714
891	5845	707
892	5851	701
893	5857	694
894	5864	687
895	5870	681
896	5876	674
897	5882	668
898	5888	661
899	5896	655
900	5902	648
901	5909	642
902	5915	635
903	5921	628
904	5929	622
905	5935	615
906	5941	609
907	5948	602
908	5954	596
909	5960	589
910	5966	582
911	5972	576
912	5979	569
913	5985	563
914	5992	556
915	5998	550
916	6004	543
917	6010	536
918	6016	530
919	6022	523
920	6029	517
921	6034	510
922	6041	504
923	6047	497
924	6053	490
925	6060	484
926	6066	477
927	6073	471
928	6080	464
929	6086	458
930	6092	451
931	6098	444
932	6104	438
933	6110	431
934	6116	425
935	6123	418
936	6129	412
937	6135	405
938	6142	399
939	6148	392
940	6154	385
941	6160	379
942	6166	372
943	6173	366
944	6179	359
945	6184	353
946	6191	346
947	6197	339
948	6203	333
949	6209	326
950	6215	320
951	6223	313
952	6229	307
953	6235	300
954	6241	294
955	6247	287
956	6254	281
957	6260	274
958	6266	267
959	6273	261
960	6279	254
961	6285	248
962	6291	241
963	6297	235
964	6304	228
965	6310	222
966	6316	215
967	6322	209
968	6328	202
969	6334	195
970	6340	189
971	6346	182
972	6353	176
973	6359	169
974	6367	163
975	6373	156
976	6380	150
977	6386	143
978	6392	137
979	6399	130
980	6404	124
981	6410	117
982	6417	110
983	6423	104
984	6431	97
985	6438	91
986	6444	84
987	6451	78
988	6457	71
989	6463	65
990	6469	58
991	6476	52
992	6482	45
993	6488	39
994	6494	32
995	6500	26
996	6506	19
997	6517	13
998	6522	6
999	6529	0
